Year,males,females,total,state
2010,"21,490","23,785","45,275",Australia
2011,"21,831","23,612","45,443",Australia
2012,"21,242","23,353","44,595",Australia
2013,"21,236","22,537","43,773",Australia
2014,"21,641","23,471","45,112",Australia
2015,"21,898","23,226","45,124",Australia
2016,"21,855","22,301","44,156",Australia
2017,"22,124","22,573","44,697",Australia
2018,"21,347","21,128","42,475",Australia
2019,"20,979","20,773","41,752",Australia
2020,"19,194","18,848","38,042",Australia
